Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,4,160,117,91,11,43,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\BlindGraphTraversalTest,4,160,117,91,11,43,0,0,0,0,0
