Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,8,250,167,126,26,83,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\BlindGraphTraversal,8,250,167,126,26,83,0,0,0,0,0
